protein,length,shape,status
Q05682,793,exists,exists
Q06124,593,exists,exists
Q06136,332,exists,exists
Q06203,517,exists,exists
Q06210,699,exists,exists
Q06265,439,exists,exists
Q06481,763,exists,exists
Q06546,454,exists,exists
Q06547,395,exists,exists
Q06587,406,exists,exists
Q07020,188,exists,exists
Q07021,282,exists,exists
Q07065,602,exists,exists
Q07157,1748,exists,exists
Q07666,443,exists,exists
Q07864,2286,exists,exists
Q07960,439,exists,exists
Q08170,494,exists,exists
Q08211,1270,exists,exists
Q08257,329,exists,exists
Q08378,1498,exists,exists
Q08379,1002,exists,exists
Q08623,228,exists,exists
Q08752,370,exists,exists
Q08945,709,exists,exists
Q08AM6,782,exists,exists
Q08J23,767,exists,exists
Q09028,425,exists,exists
Q09161,790,exists,exists
Q0IIM8,1120,exists,exists
Q0JRZ9,810,exists,exists
Q0PNE2,266,exists,exists
Q0VDF9,509,exists,exists
Q0VDG4,424,exists,exists
Q10471,571,exists,exists
Q10570,1443,exists,exists
Q10713,525,exists,exists
Q12768,1159,exists,exists
Q12769,1436,exists,exists
Q12788,808,exists,exists
Q12789,2109,exists,exists
Q12792,350,exists,exists
Q12797,758,exists,exists
Q12816,1431,exists,exists
Q12834,499,exists,exists
Q12840,1032,exists,exists
Q12849,480,exists,exists
Q12873,2000,exists,exists
Q12874,501,exists,exists
Q12888,1972,exists,exists
Q12904,312,exists,exists
Q12905,390,exists,exists
Q12906,894,exists,exists
Q12907,356,exists,exists
Q12929,822,exists,exists
Q12933,501,exists,exists
Q12959,904,exists,exists
Q12965,1108,exists,exists
Q12972,351,exists,exists
Q12979,859,exists,exists
Q12996,717,exists,exists
Q13011,328,exists,exists
Q13017,1502,exists,exists
Q13033,797,exists,exists
Q13042,620,exists,exists
Q13045,1269,exists,exists
Q13049,653,exists,exists
Q13057,564,exists,exists
Q13084,256,exists,exists
Q13098,491,exists,exists
Q13123,557,exists,exists
Q13126,283,exists,exists
Q13131,559,exists,exists
Q13137,446,exists,exists
Q13144,721,exists,exists
Q13148,414,exists,exists
Q13155,320,exists,exists
Q13158,208,exists,exists
Q13162,271,exists,exists
Q13177,524,exists,exists
Q13188,491,exists,exists
Q13191,982,exists,exists
Q13200,908,exists,exists
Q13206,875,exists,exists
Q13217,504,exists,exists
Q13227,327,exists,exists
Q13228,472,exists,exists
Q13242,221,exists,exists
Q13263,835,exists,exists
Q13287,307,exists,exists
Q13310,644,exists,exists
Q13325,482,exists,exists
Q13347,325,exists,exists
Q13356,520,exists,exists
Q13371,301,exists,exists
Q13395,1621,exists,exists
Q13405,166,exists,exists
Q13409,638,exists,exists
Q13416,577,exists,exists
Q13418,452,exists,exists
Q13423,1086,exists,exists
Q13428,1488,exists,exists
Q13435,895,exists,exists
Q13439,2230,exists,exists
Q13442,181,exists,exists
Q13459,2157,exists,exists
Q13472,1001,exists,exists
Q13485,552,exists,exists
Q13490,618,exists,exists
Q13492,652,exists,exists
Q13501,440,exists,exists
Q13523,1007,exists,exists
Q13526,163,exists,exists
Q13535,2644,exists,exists
Q13554,666,exists,exists
Q13561,401,exists,exists
Q13569,410,exists,exists
Q13573,536,exists,exists
Q13586,685,exists,exists
Q13595,282,exists,exists
Q13596,522,exists,exists
Q13601,381,exists,exists
Q13610,501,exists,exists
Q13616,776,exists,exists
Q13617,745,exists,exists
Q13618,768,exists,exists
Q13620,913,exists,exists
Q13630,321,exists,exists
Q13637,225,exists,exists
Q13642,323,exists,exists
Q13724,837,exists,exists
Q13740,583,exists,exists
Q13813,2472,exists,exists
Q13823,731,exists,exists
Q13867,455,exists,exists
Q13895,437,exists,exists
Q13901,141,exists,exists
Q13907,227,exists,exists
Q13952,458,exists,exists
Q14004,1512,exists,exists
Q14008,2032,exists,exists
Q14019,142,exists,exists
Q14061,63,exists,exists
Q14108,478,exists,exists
Q14116,193,exists,exists
Q14118,895,exists,exists
Q14119,521,exists,exists
Q14126,1118,exists,exists
Q14134,588,exists,exists
Q14139,1066,exists,exists
Q14146,1524,exists,exists
Q14151,953,exists,exists
Q14152,1382,exists,exists
Q14155,803,exists,exists
Q14181,598,exists,exists
Q14197,206,exists,exists
Q14203,1278,exists,exists
Q14232,305,exists,exists
Q14244,749,exists,exists
Q14247,550,exists,exists
Q14254,428,exists,exists
Q14258,630,exists,exists
Q14318,412,exists,exists
Q14320,339,exists,exists
Q14376,348,exists,exists
Q14444,709,exists,exists
Q14498,530,exists,exists
Q14527,1009,exists,exists
Q14534,574,exists,exists
Q14554,519,exists,exists
Q14562,1220,exists,exists
Q14566,821,exists,exists
Q14642,412,exists,exists
Q14657,143,exists,exists
Q14671,1186,exists,exists
Q14677,625,exists,exists
Q14683,1233,exists,exists
Q14684,758,exists,exists
Q14690,1871,exists,exists
Q14692,1282,exists,exists
Q14694,798,exists,exists
Q14697,944,exists,exists
Q14714,243,exists,exists
Q14738,602,exists,exists
Q14739,615,exists,exists
Q14764,893,exists,exists
Q14807,665,exists,exists
Q14847,261,exists,exists
Q14914,329,exists,exists
Q14966,1978,1978x1024,generated
Q14974,876,exists,exists
Q14978,699,exists,exists
Q14980,2115,exists,exists
Q14BN4,828,exists,exists
Q14C86,1478,exists,exists
Q14CX7,972,exists,exists
Q15003,741,exists,exists
Q15004,111,exists,exists
Q15005,226,exists,exists
Q15007,396,exists,exists
Q15008,389,exists,exists
Q15018,415,exists,exists
Q15020,963,exists,exists
Q15021,1401,exists,exists
Q15029,972,exists,exists
Q15031,903,exists,exists
Q15036,470,exists,exists
Q15041,203,exists,exists
Q15042,981,exists,exists
Q15046,597,exists,exists
Q15050,365,exists,exists
Q15054,466,exists,exists
Q15056,248,exists,exists
Q15057,778,exists,exists
Q15058,1648,exists,exists
Q15061,677,exists,exists
Q15067,660,exists,exists
Q15075,1411,exists,exists
Q15084,440,exists,exists
Q15121,130,exists,exists
Q15125,230,exists,exists
Q15126,192,exists,exists
Q15165,354,exists,exists
Q15185,160,exists,exists
Q15208,465,exists,exists
Q15257,358,exists,exists
Q15269,919,exists,exists
Q15274,297,exists,exists
Q15276,862,exists,exists
Q15287,305,exists,exists
Q15293,331,exists,exists
Q15311,655,exists,exists
Q15345,812,exists,exists
Q15361,905,exists,exists
Q15363,201,exists,exists
Q15369,112,exists,exists
Q15370,118,exists,exists
Q15382,184,exists,exists
Q15388,145,exists,exists
Q15392,516,exists,exists
Q15393,1217,exists,exists
Q15397,648,exists,exists
Q15404,277,exists,exists
Q15417,329,exists,exists
Q15427,424,exists,exists
Q15428,464,exists,exists
Q15435,360,exists,exists
Q15437,767,exists,exists
Q15459,793,exists,exists
Q15528,200,exists,exists
Q15545,349,exists,exists
Q15555,327,exists,exists
Q15629,374,exists,exists
Q15631,228,exists,exists
Q15637,639,exists,exists
Q15643,1979,exists,exists
Q15649,155,exists,exists
Q15650,581,exists,exists
Q15652,2540,exists,exists
Q15653,356,exists,exists
Q15714,1073,exists,exists
Q15738,373,exists,exists
Q15758,541,exists,exists
Q15785,309,exists,exists
Q15800,293,exists,exists
Q15813,527,exists,exists
Q15818,432,exists,exists
Q16134,617,exists,exists
Q16186,407,exists,exists
Q16204,474,exists,exists
Q16222,522,exists,exists
Q16352,499,exists,exists
Q16401,504,exists,exists
Q16513,984,exists,exists
Q16514,161,exists,exists
Q16531,1140,exists,exists
Q16543,378,exists,exists
Q16555,572,exists,exists
Q16630,551,exists,exists
Q16637,294,exists,exists
Q16643,649,exists,exists
Q16658,493,exists,exists
Q16666,785,exists,exists
Q16718,116,exists,exists
Q16795,377,exists,exists
Q16798,604,exists,exists
Q16822,640,exists,exists
Q16836,314,exists,exists
Q16851,508,exists,exists
Q16891,758,exists,exists
Q17R31,274,exists,exists
Q1ED39,458,exists,exists
Q27J81,1249,exists,exists
Q2KHR3,1735,exists,exists
Q2M389,1173,exists,exists
Q2NKX8,1250,exists,exists
Q2NL82,804,exists,exists
Q2TAL8,776,exists,exists
Q2TAY7,513,exists,exists
Q2TBE0,894,exists,exists
Q2VIQ3,1234,exists,exists
Q2VPK5,515,exists,exists
Q32MZ4,808,exists,exists
Q32P28,736,exists,exists
Q3KRA6,126,exists,exists
Q3LXA3,575,exists,exists
Q3MHD2,195,exists,exists
Q3SXM5,330,exists,exists
Q3ZCQ8,353,exists,exists
Q49A26,553,exists,exists
Q4G0J3,582,exists,exists
Q4G148,440,exists,exists
Q4J6C6,727,exists,exists
Q4KMQ2,910,exists,exists
Q4U2R6,128,exists,exists
Q4V328,841,exists,exists
Q4VC31,144,exists,exists
Q4ZIN3,620,exists,exists
Q52LJ0,433,exists,exists
Q53EL6,469,exists,exists
Q53EZ4,464,exists,exists
Q53F19,620,exists,exists
Q53FV1,153,exists,exists
Q53GQ0,312,exists,exists
Q53GS7,698,exists,exists
Q53GS9,565,exists,exists
Q53H12,422,exists,exists
Q53H82,288,exists,exists
Q53S33,107,exists,exists
Q567U6,631,exists,exists
Q56P03,285,exists,exists
Q56UN5,1328,exists,exists
Q56VL3,154,exists,exists
Q58FF6,505,exists,exists
Q58FF7,597,exists,exists
Q58FF8,381,exists,exists
Q58FG1,418,exists,exists
Q5BJD5,291,exists,exists
Q5BJF2,176,exists,exists
Q5BJF6,829,exists,exists
Q5BKT4,473,exists,exists
Q5BKZ1,582,exists,exists
Q5F1R6,531,exists,exists
Q5GLZ8,1057,exists,exists
Q5H9R7,873,exists,exists
Q5HYI8,236,exists,exists
Q5JPE7,1267,exists,exists
Q5JPH6,523,exists,exists
Q5JRA6,1907,exists,exists
Q5JRX3,1037,exists,exists
Q5JSH3,913,exists,exists
Q5JTH9,1297,exists,exists
Q5JTV8,583,exists,exists
Q5JU85,1488,exists,exists
Q5JUR7,227,exists,exists
Q5JVF3,399,exists,exists
Q5JWF2,1037,exists,exists
Q5MIZ7,849,exists,exists
Q5MNZ6,344,exists,exists
Q5NE16,218,exists,exists
Q5PSV4,323,exists,exists
Q5QJE6,756,exists,exists
Q5R3I4,469,exists,exists
Q5SRE5,1749,exists,exists
Q5SSJ5,553,exists,exists
Q5SW79,1584,exists,exists
Q5SY16,702,exists,exists
Q5T1C6,240,exists,exists
Q5T1M5,1219,exists,exists
Q5T200,1668,exists,exists
Q5T280,376,exists,exists
Q5T2W1,519,exists,exists
Q5T3I0,446,exists,exists
Q5T3J3,769,exists,exists
Q5T447,861,exists,exists
Q5T5Y3,1602,exists,exists
Q5T653,305,exists,exists
Q5T655,872,exists,exists
Q5T6F2,1119,exists,exists
Q5T6V5,341,exists,exists
Q5T8P6,1007,exists,exists
Q5T9A4,648,exists,exists
Q5T9S5,1454,exists,exists
Q5TA50,214,exists,exists
Q5TBB1,312,exists,exists
Q5TC12,328,exists,exists
Q5TFE4,455,exists,exists
Q5TKA1,542,exists,exists
Q5U3C3,297,exists,exists
Q5UIP0,2472,exists,exists
Q5VIR6,832,exists,exists
Q5VSL9,837,exists,exists
Q5VT25,1732,exists,exists
Q5VT52,1461,exists,exists
Q5VTB9,566,exists,exists
Q5VTL8,546,exists,exists
Q5VU43,2346,exists,exists
Q5VUA4,2279,exists,exists
Q5VV42,579,exists,exists
Q5VW32,411,exists,exists
Q5VW38,600,exists,exists
Q5VWI1,586,exists,exists
Q5VWJ9,437,exists,exists
Q5VYK3,1845,exists,exists
Q5VYS8,1495,exists,exists
Q5VZL5,1548,exists,exists
Q5VZM2,374,exists,exists
Q5W0B1,726,exists,exists
Q5W0V3,765,exists,exists
Q5XKP0,118,exists,exists
Q641Q2,1341,exists,exists
Q66K14,1250,exists,exists
Q66LE6,453,exists,exists
Q676U5,607,exists,exists
Q68CP9,1835,exists,exists
Q68CZ6,603,exists,exists
Q68E01,1043,exists,exists
Q68EM7,881,exists,exists
Q69YN4,1812,exists,exists
Q6AHZ1,1483,exists,exists
Q6DN03,193,exists,exists
Q6FI81,312,exists,exists
Q6GMV2,418,exists,exists
Q6I9Y2,204,exists,exists
Q6IA86,826,exists,exists
Q6IQ23,1121,exists,exists
Q6MZM0,1159,exists,exists
Q6NUK1,477,exists,exists
Q6NUM9,610,exists,exists
Q6NUQ1,792,exists,exists
Q6NUQ4,689,exists,exists
Q6NVY1,386,exists,exists
Q6NXE6,501,exists,exists
Q6NXR4,508,exists,exists
Q6NYC1,403,exists,exists
Q6NZI2,390,exists,exists
Q6P1J9,531,exists,exists
Q6P1M0,643,exists,exists
Q6P1N0,951,exists,exists
Q6P1N9,297,exists,exists
Q6P1Q9,378,exists,exists
Q6P2C8,311,exists,exists
Q6P2E9,1401,exists,exists
Q6P2H3,762,exists,exists
Q6P2Q9,2335,exists,exists
Q6P3W7,929,exists,exists
Q6P3X3,843,exists,exists
Q6P4E1,436,exists,exists
Q6P6C2,394,exists,exists
Q6P996,788,exists,exists
Q6PCB5,846,exists,exists
Q6PD62,1173,exists,exists
Q6PD74,315,exists,exists
Q6PGP7,1564,exists,exists
Q6PI48,645,exists,exists
Q6PID6,262,exists,exists
Q6PII3,467,exists,exists
Q6PIU2,408,exists,exists
Q6PJ69,517,exists,exists
Q6PJT7,736,exists,exists
Q6PKG0,1096,exists,exists
Q6PL18,1390,exists,exists
Q6Q0C0,670,exists,exists
Q6QNY1,142,exists,exists
Q6R327,1708,exists,exists
Q6SJ93,734,exists,exists
Q6UB35,978,exists,exists
Q6UN15,594,exists,exists
Q6UVJ0,657,exists,exists
Q6UWE0,723,exists,exists
Q6UX04,472,exists,exists
Q6UXN9,313,exists,exists
Q6VMQ6,1270,exists,exists
Q6VY07,963,exists,exists
Q6WCQ1,1025,exists,exists
Q6WKZ4,1283,exists,exists
Q6Y1H2,254,exists,exists
Q6Y7W6,1299,exists,exists
Q6YN16,418,exists,exists
Q6YP21,454,exists,exists
Q6ZRP7,698,exists,exists
Q6ZT77,177,exists,exists
Q6ZWJ1,553,exists,exists
Q6ZXV5,915,exists,exists
Q70E73,1250,exists,exists
Q70HW3,274,exists,exists
Q70J99,1090,exists,exists
Q70UQ0,350,exists,exists
Q70Z53,315,exists,exists
Q712K3,238,exists,exists
Q71H61,639,exists,exists
Q71RC2,724,exists,exists
Q7KZ85,1726,exists,exists
Q7KZF4,910,exists,exists
Q7KZI7,788,exists,exists
Q7KZN9,410,exists,exists
Q7L014,1031,exists,exists
Q7L0Y3,403,exists,exists
Q7L1Q6,419,exists,exists
Q7L2E3,1194,exists,exists
Q7L2H7,374,exists,exists
Q7L3B6,337,exists,exists
Q7L4I2,434,exists,exists
Q7L592,441,exists,exists
Q7L5D6,327,exists,exists
Q7L5N1,327,exists,exists
Q7L5Y9,396,exists,exists
Q7L7X3,1001,exists,exists
Q7LBC6,1761,exists,exists
Q7LBR1,199,exists,exists
Q7RTV0,110,exists,exists
Q7Z2K6,904,exists,exists
Q7Z2T5,733,exists,exists
Q7Z2W4,902,exists,exists
Q7Z2W9,205,exists,exists
Q7Z2Z2,1120,exists,exists
Q7Z3B4,507,exists,exists
Q7Z3E2,898,exists,exists
Q7Z3K3,1410,exists,exists
Q7Z3U7,1717,exists,exists
Q7Z406,1995,exists,exists
Q7Z417,695,exists,exists
Q7Z460,1538,exists,exists
Q7Z478,1369,exists,exists
Q7Z4G4,463,exists,exists
Q7Z4H7,955,exists,exists
Q7Z4H8,507,exists,exists
Q7Z4I7,341,exists,exists
Q7Z4Q2,680,exists,exists
Q7Z4S6,1674,exists,exists
Q7Z4V5,671,exists,exists
Q7Z569,592,exists,exists
Q7Z5K2,1190,exists,exists
Q7Z6B0,441,exists,exists
Q7Z6B7,1085,exists,exists
Q7Z6E9,1792,exists,exists
Q7Z6M1,372,exists,exists
Q7Z739,585,exists,exists
Q7Z7A1,2325,exists,exists
Q7Z7E8,422,exists,exists
Q7Z7K0,106,exists,exists
Q7Z7K6,275,exists,exists
Q86SF2,657,exists,exists
Q86TB9,770,exists,exists
Q86TI2,863,exists,exists
Q86TU7,594,exists,exists
Q86U42,306,exists,exists
Q86U44,580,exists,exists
Q86UD0,394,exists,exists
Q86UE4,582,exists,exists
Q86UE8,772,exists,exists
Q86UK7,904,exists,exists
Q86UP2,1357,exists,exists
Q86UT8,332,exists,exists
Q86V21,672,exists,exists
Q86V48,1076,exists,exists
Q86V81,257,exists,exists
Q86VM9,953,exists,exists
Q86VN1,386,exists,exists
Q86VP1,789,exists,exists
Q86VU5,262,exists,exists
Q86W50,562,exists,exists
Q86W92,1011,exists,exists
Q86WA8,852,exists,exists
Q86WB0,502,exists,exists
Q86WJ1,897,exists,exists
Q86WR0,208,exists,exists
Q86X10,1494,exists,exists
Q86X27,583,exists,exists
Q86X55,608,exists,exists
Q86XA9,2040,exists,exists
Q86XI2,1143,exists,exists
Q86XP3,938,exists,exists
Q86Y37,369,exists,exists
Q86Y56,855,exists,exists
Q86YP4,633,exists,exists
Q8IU85,385,exists,exists
Q8IUC4,686,exists,exists
Q8IUD2,1116,exists,exists
Q8IUD6,432,exists,exists
Q8IUF8,465,exists,exists
Q8IV38,441,exists,exists
Q8IV48,349,exists,exists
Q8IVF6,992,exists,exists
Q8IVI9,506,exists,exists
Q8IVM0,306,exists,exists
Q8IVT2,679,exists,exists
Q8IW35,865,exists,exists
Q8IWA0,830,exists,exists
Q8IWB7,410,exists,exists
Q8IWB9,1127,exists,exists
Q8IWC1,876,exists,exists
Q8IWE2,563,exists,exists
Q8IWJ2,1684,exists,exists
Q8IWL3,235,exists,exists
Q8IWS0,365,exists,exists
Q8IWX8,916,exists,exists
Q8IX01,1082,exists,exists
Q8IX03,1113,exists,exists
Q8IX12,1150,exists,exists
Q8IXB1,793,exists,exists
Q8IXH7,590,exists,exists
Q8IXI1,618,exists,exists
Q8IXJ6,389,exists,exists
Q8IXM3,137,exists,exists
Q8IXT5,1001,exists,exists
Q8IY18,1101,exists,exists
Q8IY37,1157,exists,exists
Q8IY63,956,exists,exists
Q8IY81,847,exists,exists
Q8IYB3,904,exists,exists
Q8IYB8,786,exists,exists
Q8IYD1,628,exists,exists
Q8IYE0,955,exists,exists
Q8IYH5,903,exists,exists
Q8IYI6,725,exists,exists
Q8IYU8,434,exists,exists
Q8IZ21,702,exists,exists
Q8IZH2,1706,exists,exists
Q8IZL8,1130,exists,exists
Q8N0X7,666,exists,exists
Q8N163,923,exists,exists
Q8N183,169,exists,exists
Q8N1F7,819,exists,exists
Q8N1G2,835,exists,exists
Q8N1G4,583,exists,exists
Q8N1W1,1705,exists,exists
Q8N201,2190,exists,exists
Q8N2F6,343,exists,exists
Q8N3C0,2202,exists,exists
Q8N3D4,1523,exists,exists
Q8N3X1,1017,exists,exists
Q8N4H5,51,exists,exists
Q8N4P3,179,exists,exists
Q8N4V1,131,exists,exists
Q8N543,542,exists,exists
Q8N5I9,185,exists,exists
Q8N5K1,135,exists,exists
Q8N5M4,171,exists,exists
Q8N5N7,158,exists,exists
Q8N684,471,exists,exists
Q8N6G6,1762,exists,exists
Q8N6M0,293,exists,exists
Q8N6M3,262,exists,exists
Q8N6R0,699,exists,exists
Q8N6T3,406,exists,exists
Q8N6T7,355,exists,exists
Q8N6V9,391,exists,exists
Q8N7H5,531,exists,exists
Q8N806,425,exists,exists
Q8N884,522,exists,exists
Q8N8S7,591,exists,exists
Q8N983,215,exists,exists
Q8N999,325,exists,exists
Q8NA47,563,exists,exists
Q8NA72,575,exists,exists
Q8NAV1,312,exists,exists
Q8NB16,471,exists,exists
Q8NBF2,726,exists,exists
Q8NBI5,491,exists,exists
Q8NBJ4,401,exists,exists
Q8NBJ5,622,exists,exists
Q8NBN3,555,exists,exists
Q8NBS9,432,exists,exists
Q8NBU5,361,exists,exists
Q8NC51,408,exists,exists
Q8NC60,698,exists,exists
Q8NCG7,672,exists,exists
Q8ND24,703,exists,exists
Q8ND56,463,exists,exists
Q8ND76,341,exists,exists
Q8NDD1,293,exists,exists
Q8NDF8,572,exists,exists
Q8NDI1,1231,exists,exists
Q8NDT2,890,exists,exists
Q8NE71,845,exists,exists
Q8NE86,351,exists,exists
Q8NEJ9,315,exists,exists
Q8NEM0,835,exists,exists
Q8NEM2,672,exists,exists
Q8NEN9,1154,exists,exists
Q8NEY8,458,exists,exists
Q8NEZ5,403,exists,exists
Q8NF37,534,exists,exists
Q8NFH3,380,exists,exists
Q8NFH4,326,exists,exists
Q8NFJ5,357,exists,exists
Q8NFQ8,470,exists,exists
Q8NFW8,434,exists,exists
Q8NFX7,210,exists,exists
Q8NG31,2342,exists,exists
Q8NHH9,583,exists,exists
Q8NHP6,518,exists,exists
Q8NHQ9,600,exists,exists
Q8NHU6,1098,exists,exists
Q8NHV4,660,exists,exists
Q8NI22,146,exists,exists
Q8NI27,1593,exists,exists
Q8NI35,1801,exists,exists
Q8TAA9,524,exists,exists
Q8TAD4,765,exists,exists
Q8TAE8,222,exists,exists
Q8TAQ2,1214,exists,exists
Q8TAT6,608,exists,exists
Q8TB36,358,exists,exists
Q8TBA6,731,exists,exists
Q8TBF4,217,exists,exists
Q8TBN0,382,exists,exists
Q8TBX8,421,exists,exists
Q8TC07,691,exists,exists
Q8TCD5,201,exists,exists
Q8TCG1,905,exists,exists
Q8TCJ2,826,exists,exists
Q8TCS8,783,exists,exists
Q8TCT9,377,exists,exists
Q8TCY9,931,exists,exists
Q8TDB6,740,exists,exists
Q8TDD1,881,exists,exists
Q8TDM6,1919,exists,exists
Q8TDN6,353,exists,exists
Q8TEA1,469,exists,exists
Q8TED0,518,exists,exists
Q8TED1,209,exists,exists
Q8TEQ6,1508,exists,exists
Q8TEW8,1205,exists,exists
Q8TEY7,942,exists,exists
Q8TF05,950,exists,exists
Q8TF42,649,exists,exists
Q8TF46,1054,exists,exists
Q8WTT2,800,exists,exists
Q8WU10,500,exists,exists
Q8WU90,426,exists,exists
Q8WUA2,492,exists,exists
Q8WUD4,166,exists,exists
Q8WUF5,828,exists,exists
Q8WUM0,1156,exists,exists
Q8WUM4,868,exists,exists
Q8WUX2,184,exists,exists
Q8WV22,266,exists,exists
Q8WVJ2,157,exists,exists
Q8WVK2,155,exists,exists
Q8WVM0,346,exists,exists
Q8WVM7,1258,exists,exists
Q8WVX9,515,exists,exists
Q8WVY7,318,exists,exists
Q8WWC4,291,exists,exists
Q8WWI1,1683,exists,exists
Q8WWM7,1075,exists,exists
Q8WWV3,396,exists,exists
Q8WWY3,499,exists,exists
Q8WX92,580,exists,exists
Q8WX93,1383,exists,exists
Q8WXD5,167,exists,exists
Q8WXE1,791,exists,exists
Q8WXI9,593,exists,exists
Q8WXW3,757,exists,exists
Q8WXX5,260,exists,exists
Q8WY22,251,exists,exists
Q8WYA6,563,exists,exists
Q8WYP5,2266,exists,exists
Q8WZ82,227,exists,exists
Q8WZA0,190,exists,exists
Q92481,460,exists,exists
Q92499,740,exists,exists
Q92504,469,exists,exists
Q92522,213,exists,exists
Q92530,271,exists,exists
Q92535,297,exists,exists
Q92541,710,exists,exists
Q92542,709,exists,exists
Q92547,1522,exists,exists
Q92552,414,exists,exists
Q92574,1164,exists,exists
Q92575,508,exists,exists
Q92576,2039,exists,exists
Q92598,858,exists,exists
Q92604,370,exists,exists
Q92614,2054,exists,exists
Q92620,1227,exists,exists
Q92621,2012,exists,exists
Q92643,395,exists,exists
Q92665,395,exists,exists
Q92667,903,exists,exists
Q92688,251,exists,exists
Q92733,491,exists,exists
Q92734,400,exists,exists
Q92769,488,exists,exists
Q92783,540,exists,exists
Q92793,2442,exists,exists
Q92797,1274,exists,exists
Q92804,592,exists,exists
Q92805,767,exists,exists
Q92817,2033,exists,exists
Q92820,318,exists,exists
Q92841,729,exists,exists
Q92845,792,exists,exists
Q92878,1312,exists,exists
Q92888,912,exists,exists
Q92889,916,exists,exists
Q92890,307,exists,exists
Q92896,1179,exists,exists
Q92900,1129,exists,exists
Q92901,407,exists,exists
Q92905,334,exists,exists
Q92917,476,exists,exists
Q92945,711,exists,exists
Q92973,898,exists,exists
Q92974,986,exists,exists
Q93009,1102,exists,exists
Q93034,780,exists,exists
Q93045,179,exists,exists
Q93050,837,exists,exists
Q93052,612,exists,exists
Q969F1,213,exists,exists
Q969G3,411,exists,exists
Q969G6,155,exists,exists
Q969H8,173,exists,exists
Q969Q4,196,exists,exists
Q969S3,477,exists,exists
Q969U7,264,exists,exists
Q969V3,563,exists,exists
Q969X5,290,exists,exists
Q969X6,686,exists,exists
Q969Z0,631,exists,exists
Q96A26,154,exists,exists
Q96A33,483,exists,exists
Q96A35,216,exists,exists
Q96A49,352,exists,exists
Q96A72,148,exists,exists
Q96AC1,680,exists,exists
Q96AG4,307,exists,exists
Q96AQ8,359,exists,exists
Q96AT1,154,exists,exists
Q96AY3,582,exists,exists
Q96AY4,2481,exists,exists
Q96B26,276,exists,exists
Q96B97,665,exists,exists
Q96BD8,255,exists,exists
Q96BJ3,306,exists,exists
Q96BN2,335,exists,exists
Q96BN8,352,exists,exists
Q96BP3,646,exists,exists
Q96BR5,231,exists,exists
Q96C01,138,exists,exists
Q96C19,240,exists,exists
Q96C36,320,exists,exists
Q96C57,262,exists,exists
Q96C86,337,exists,exists
Q96CS3,445,exists,exists
Q96CT7,223,exists,exists
Q96CV9,577,exists,exists
Q96CW1,435,exists,exists
Q96D46,503,exists,exists
Q96D71,796,exists,exists
Q96DB5,314,exists,exists
Q96DG6,245,exists,exists
Q96DI7,357,exists,exists
Q96DV4,380,exists,exists
Q96DZ1,483,exists,exists
Q96E11,262,exists,exists
Q96E29,417,exists,exists
Q96EA4,605,exists,exists
Q96EB6,747,exists,exists
Q96EC8,236,exists,exists
Q96EE3,360,exists,exists
Q96EK5,621,exists,exists
Q96EK6,184,exists,exists
Q96EL3,112,exists,exists
Q96EP5,407,exists,exists
Q96ER9,411,exists,exists
Q96ES7,293,exists,exists
Q96EX1,92,exists,exists
Q96EY1,480,exists,exists
Q96EY4,203,exists,exists
Q96EY7,689,exists,exists
Q96EY8,250,exists,exists
Q96F07,1278,exists,exists
Q96F24,287,exists,exists
Q96F86,508,exists,exists
Q96FQ6,103,exists,exists
Q96FV9,657,exists,exists
Q96FW1,271,exists,exists
Q96FZ2,354,exists,exists
Q96G01,975,exists,exists
Q96G03,612,exists,exists
Q96G23,380,exists,exists
Q96G25,268,exists,exists
Q96G46,650,exists,exists
Q96G74,571,exists,exists
Q96GA3,475,exists,exists
Q96GC5,212,exists,exists
Q96GM5,515,exists,exists
Q96HA1,1249,exists,exists
Q96HC4,596,exists,exists
Q96HH6,336,exists,exists
Q96HS1,289,exists,exists
Q96HY6,314,exists,exists
Q96HY7,919,exists,exists
Q96I25,401,exists,exists
Q96I59,477,exists,exists
Q96II8,777,exists,exists
Q96IJ6,420,exists,exists
Q96IX5,58,exists,exists
Q96IZ0,340,exists,exists
Q96J01,351,exists,exists
Q96J02,903,exists,exists
Q96JB2,828,exists,exists
Q96JB5,506,exists,exists
Q96JG6,964,exists,exists
Q96JJ7,454,exists,exists
Q96K76,1375,exists,exists
Q96KB5,322,exists,exists
Q96KG9,808,exists,exists
Q96KM6,892,exists,exists
Q96KN7,1286,exists,exists
Q96KP1,924,exists,exists
Q96KP4,475,exists,exists
Q96KR1,1074,exists,exists
Q96L92,541,exists,exists
Q96LA8,375,exists,exists
Q96M27,445,exists,exists
Q96M83,1385,exists,exists
Q96M96,766,exists,exists
Q96ME7,567,exists,exists
Q96MU7,727,exists,exists
Q96MW1,224,exists,exists
Q96NB3,372,exists,exists
Q96NC0,199,exists,exists
Q96ND0,272,exists,exists
Q96P11,429,exists,exists
Q96P48,1450,exists,exists
Q96P70,1041,exists,exists
Q96PC5,1412,exists,exists
Q96PK6,669,exists,exists
Q96PU4,802,exists,exists
Q96PU8,341,exists,exists
Q96PZ0,661,exists,exists
Q96Q11,434,exists,exists
Q96Q83,286,exists,exists
Q96QC0,940,exists,exists
Q96QD5,511,exists,exists
Q96QD8,506,exists,exists
Q96QE5,360,exists,exists
Q96QK1,796,exists,exists
