protein,outer_split,fold
Q2NL82,train,5.0
Q2TAL8,train,3.0
Q2TAY7,train,1.0
Q2TBE0,train,2.0
Q2VIQ3,test,
Q2VPK5,train,2.0
Q32MZ4,train,1.0
Q32P28,train,4.0
Q3KRA6,train,1.0
Q3LXA3,train,4.0
Q3MHD2,train,4.0
Q3SXM5,train,2.0
Q3ZCQ8,train,5.0
Q49A26,train,1.0
Q4G0J3,train,5.0
Q4G148,train,4.0
Q4J6C6,test,
Q4KMQ2,train,1.0
Q4U2R6,train,2.0
Q4V328,train,2.0
Q4VC31,train,3.0
Q4ZIN3,train,2.0
Q52LJ0,train,3.0
Q53EL6,train,1.0
Q53EZ4,test,
Q53F19,test,
Q53FV1,test,
Q53GQ0,train,5.0
Q53GS7,train,3.0
Q53GS9,test,
Q53H12,test,
Q53H82,train,5.0
Q53S33,train,4.0
Q567U6,train,1.0
Q56P03,train,1.0
Q56UN5,train,5.0
Q56VL3,train,1.0
Q58FF6,train,1.0
Q58FF7,train,3.0
Q58FF8,test,
Q58FG1,train,2.0
Q5BJD5,train,1.0
Q5BJF2,test,
Q5BJF6,train,2.0
Q5BKT4,train,5.0
Q5BKZ1,train,3.0
Q5F1R6,train,5.0
Q5GLZ8,test,
Q5H9R7,train,3.0
Q5HYI8,train,3.0
Q5JPE7,train,2.0
Q5JPH6,test,
Q5JRA6,train,1.0
Q5JRX3,train,5.0
Q5JSH3,train,1.0
Q5JTH9,test,
Q5JTV8,train,3.0
Q5JU85,train,5.0
Q5JUR7,train,1.0
Q5JVF3,test,
Q5JWF2,train,5.0
Q5MIZ7,train,5.0
Q5MNZ6,test,
Q5NE16,train,2.0
Q5PSV4,train,4.0
Q5QJE6,train,2.0
Q5R3I4,train,3.0
Q5SRE5,test,
Q5SSJ5,test,
Q5SW79,train,4.0
Q5SY16,train,2.0
Q5T1C6,train,5.0
Q5T1M5,train,5.0
Q5T200,train,1.0
Q5T280,train,3.0
Q5T2W1,train,2.0
Q5T3I0,train,5.0
Q5T3J3,train,4.0
Q5T447,train,5.0
Q5T5Y3,train,4.0
Q5T653,train,4.0
Q5T655,test,
Q5T6F2,train,5.0
Q5T6V5,train,4.0
Q5T8P6,train,1.0
Q5T9A4,train,1.0
Q5T9S5,train,4.0
Q5TA50,train,3.0
Q5TBB1,train,3.0
Q5TC12,train,3.0
Q5TFE4,train,3.0
Q5TKA1,train,5.0
Q5U3C3,train,3.0
Q5UIP0,train,1.0
Q5VIR6,test,
Q5VSL9,train,2.0
Q5VT25,train,1.0
Q5VT52,train,5.0
Q5VTB9,train,4.0
Q5VTL8,train,4.0
Q5VU43,train,2.0
Q5VUA4,train,5.0
Q5VV42,test,
Q5VW32,test,
Q5VW38,train,1.0
Q5VWI1,test,
Q5VWJ9,test,
Q5VYK3,test,
Q5VYS8,train,2.0
Q5VZL5,train,1.0
Q5VZM2,train,4.0
Q5W0B1,train,3.0
Q5W0V3,train,4.0
Q5XKP0,test,
Q641Q2,train,5.0
Q66K14,train,5.0
Q66LE6,train,4.0
Q676U5,train,5.0
Q68CP9,test,
Q68CZ6,train,5.0
Q68E01,train,3.0
Q68EM7,train,4.0
Q69YN4,train,5.0
Q6AHZ1,train,1.0
Q6DN03,train,3.0
Q6FI81,train,3.0
Q6GMV2,train,4.0
Q6I9Y2,train,5.0
Q6IA86,train,5.0
Q6IQ23,train,4.0
Q6MZM0,train,2.0
Q6NUK1,train,5.0
Q6NUM9,train,5.0
Q6NUQ1,train,2.0
Q6NUQ4,train,5.0
Q6NVY1,train,1.0
Q6NXE6,train,5.0
Q6NXR4,train,1.0
Q6NYC1,train,5.0
Q6NZI2,train,3.0
Q6P1J9,test,
Q6P1M0,test,
Q6P1N0,test,
Q6P1N9,train,4.0
Q6P1Q9,train,5.0
Q6P2C8,train,2.0
Q6P2E9,train,1.0
Q6P2H3,train,2.0
Q6P2Q9,test,
Q6P3W7,train,5.0
Q6P3X3,train,3.0
Q6P4E1,train,1.0
Q6P6C2,test,
Q6P996,test,
Q6PCB5,train,4.0
Q6PD62,train,5.0
Q6PD74,test,
Q6PGP7,train,5.0
Q6PI48,train,3.0
Q6PID6,train,5.0
Q6PII3,train,1.0
Q6PIU2,test,
Q6PJ69,train,5.0
Q6PJT7,test,
Q6PKG0,train,1.0
Q6PL18,train,3.0
Q6Q0C0,train,2.0
Q6QNY1,train,2.0
Q6R327,train,1.0
Q6SJ93,train,2.0
Q6UB35,train,3.0
Q6UN15,train,5.0
Q6UVJ0,train,3.0
Q6UWE0,train,5.0
Q6UX04,train,4.0
Q6UXN9,train,2.0
Q6VMQ6,train,4.0
Q6VY07,train,1.0
Q6WCQ1,train,2.0
Q6WKZ4,test,
Q6Y1H2,train,2.0
Q6Y7W6,test,
Q6YN16,test,
Q6YP21,test,
Q6ZRP7,train,3.0
Q6ZT77,train,4.0
Q6ZWJ1,train,3.0
Q6ZXV5,train,1.0
Q70E73,train,2.0
Q70HW3,train,4.0
Q70J99,train,5.0
Q70UQ0,train,4.0
Q70Z53,test,
Q712K3,test,
Q71H61,test,
Q71RC2,test,
Q7KZ85,train,5.0
Q7KZF4,train,1.0
Q7KZI7,test,
Q7KZN9,train,3.0
Q7L014,train,3.0
Q7L0Y3,train,1.0
Q7L1Q6,train,3.0
Q7L2E3,train,3.0
Q7L2H7,train,3.0
Q7L3B6,train,2.0
Q7L4I2,train,4.0
Q7L592,train,4.0
Q7L5D6,train,3.0
Q7L5N1,train,2.0
Q7L5Y9,train,2.0
Q7L7X3,test,
Q7LBC6,test,
Q7LBR1,train,1.0
Q7RTV0,train,4.0
Q7Z2K6,train,5.0
Q7Z2T5,train,4.0
Q7Z2W4,train,2.0
Q7Z2W9,train,4.0
Q7Z2Z2,test,
Q7Z3B4,train,1.0
Q7Z3E2,test,
Q7Z3K3,train,3.0
Q7Z3U7,train,2.0
Q7Z406,train,1.0
Q7Z417,train,3.0
Q7Z460,train,1.0
Q7Z478,test,
Q7Z4G4,train,3.0
Q7Z4H7,train,5.0
Q7Z4H8,train,4.0
Q7Z4I7,train,4.0
Q7Z4Q2,test,
Q7Z4S6,train,4.0
Q7Z4V5,train,1.0
Q7Z569,train,2.0
Q7Z5K2,train,5.0
Q7Z6B0,train,5.0
Q7Z6B7,test,
Q7Z6E9,train,4.0
Q7Z6M1,train,3.0
Q7Z739,train,2.0
Q7Z7A1,train,4.0
Q7Z7E8,train,4.0
Q7Z7K0,test,
Q7Z7K6,test,
Q86SF2,train,1.0
Q86TB9,train,5.0
Q86TI2,test,
Q86TU7,train,2.0
Q86U42,train,4.0
Q86U44,train,3.0
Q86UD0,train,2.0
Q86UE4,train,5.0
Q86UE8,train,3.0
Q86UK7,train,3.0
Q86UP2,train,5.0
Q86UT8,test,
Q86V21,test,
Q86V48,train,4.0
Q86V81,train,1.0
Q86VM9,test,
Q86VN1,train,4.0
Q86VP1,test,
Q86VU5,train,3.0
Q86W50,test,
Q86W92,train,5.0
Q86WA8,train,5.0
Q86WB0,test,
Q86WJ1,train,5.0
Q86WR0,train,4.0
Q86X10,train,5.0
Q86X27,train,1.0
Q86X55,train,2.0
Q86XA9,train,1.0
Q86XI2,train,2.0
Q86XP3,train,3.0
Q86Y37,train,5.0
Q86Y56,train,2.0
Q86YP4,train,2.0
Q8IU85,test,
Q8IUC4,train,3.0
Q8IUD2,train,5.0
Q8IUD6,train,5.0
Q8IUF8,train,5.0
Q8IV38,train,4.0
Q8IV48,train,1.0
Q8IVF6,train,3.0
Q8IVI9,train,2.0
Q8IVM0,train,5.0
Q8IVT2,train,3.0
Q8IW35,test,
Q8IWA0,train,2.0
Q8IWB7,train,5.0
Q8IWB9,train,1.0
Q8IWC1,train,2.0
Q8IWE2,train,4.0
Q8IWJ2,test,
Q8IWL3,train,1.0
Q8IWS0,train,1.0
Q8IWX8,train,3.0
Q8IX01,train,1.0
Q8IX03,train,4.0
Q8IX12,test,
Q8IXB1,train,1.0
Q8IXH7,train,5.0
Q8IXI1,test,
Q8IXJ6,train,4.0
Q8IXM3,train,3.0
Q8IXT5,train,2.0
Q8IY18,train,4.0
Q8IY37,train,1.0
Q8IY63,train,2.0
Q8IY81,train,2.0
Q8IYB3,train,3.0
Q8IYB8,test,
Q8IYD1,train,1.0
Q8IYE0,train,2.0
Q8IYH5,train,5.0
Q8IYI6,test,
Q8IYU8,test,
Q8IZ21,train,4.0
Q8IZH2,train,2.0
Q8IZL8,train,1.0
Q8N0X7,test,
Q8N163,test,
Q8N183,test,
Q8N1F7,train,1.0
Q8N1G2,train,3.0
Q8N1G4,train,4.0
Q8N1W1,train,2.0
Q8N201,train,5.0
Q8N2F6,train,3.0
Q8N3C0,train,1.0
Q8N3D4,train,2.0
Q8N3X1,train,4.0
Q8N4H5,train,2.0
Q8N4P3,train,2.0
Q8N4V1,train,1.0
Q8N543,train,3.0
Q8N5I9,test,
Q8N5K1,test,
Q8N5M4,train,1.0
Q8N5N7,train,5.0
Q8N684,train,1.0
Q8N6G6,train,1.0
Q8N6M0,train,4.0
Q8N6M3,train,3.0
Q8N6R0,train,4.0
Q8N6T3,train,4.0
Q8N6T7,train,3.0
Q8N6V9,train,2.0
Q8N7H5,train,4.0
Q8N806,train,4.0
Q8N884,train,3.0
Q8N8S7,train,2.0
Q8N983,train,3.0
Q8N999,train,5.0
Q8NA47,test,
Q8NA72,test,
Q8NAV1,test,
Q8NB16,train,2.0
Q8NBF2,train,2.0
Q8NBI5,train,3.0
Q8NBJ4,train,4.0
Q8NBJ5,train,5.0
Q8NBN3,test,
Q8NBS9,train,4.0
Q8NBU5,train,1.0
Q8NC51,train,2.0
Q8NC60,train,1.0
Q8NCG7,train,1.0
Q8ND24,test,
Q8ND56,train,5.0
Q8ND76,train,2.0
Q8NDD1,test,
Q8NDF8,train,2.0
Q8NDI1,train,1.0
Q8NDT2,train,5.0
Q8NE71,train,2.0
Q8NE86,train,1.0
Q8NEJ9,train,5.0
Q8NEM0,train,1.0
Q8NEM2,train,3.0
Q8NEN9,train,3.0
Q8NEY8,train,1.0
Q8NEZ5,test,
Q8NF37,test,
Q8NFH3,train,5.0
Q8NFH4,train,3.0
Q8NFJ5,test,
Q8NFQ8,train,1.0
Q8NFW8,train,3.0
Q8NFX7,train,5.0
Q8NG31,test,
Q8NHH9,train,5.0
Q8NHP6,train,2.0
Q8NHQ9,test,
Q8NHU6,train,2.0
Q8NHV4,test,
Q8NI22,train,5.0
Q8NI27,test,
Q8NI35,train,4.0
Q8TAA9,test,
Q8TAD4,train,3.0
Q8TAE8,train,2.0
Q8TAQ2,train,1.0
Q8TAT6,test,
Q8TB36,test,
Q8TBA6,test,
Q8TBF4,train,3.0
Q8TBN0,test,
Q8TBX8,test,
Q8TC07,train,5.0
Q8TCD5,train,3.0
Q8TCG1,train,4.0
Q8TCJ2,train,3.0
Q8TCS8,test,
Q8TCT9,test,
Q8TCY9,train,5.0
Q8TDB6,train,5.0
Q8TDD1,train,1.0
Q8TDM6,train,1.0
Q8TDN6,train,5.0
Q8TEA1,train,4.0
Q8TED0,train,5.0
Q8TED1,train,4.0
Q8TEQ6,train,1.0
Q8TEW8,train,4.0
Q8TEY7,train,3.0
Q8TF05,train,4.0
Q8TF42,test,
Q8TF46,train,4.0
Q8WTT2,train,1.0
Q8WU10,train,1.0
Q8WU90,train,1.0
Q8WUA2,train,3.0
Q8WUD4,train,3.0
Q8WUF5,train,1.0
Q8WUM0,train,5.0
Q8WUM4,train,3.0
Q8WUX2,test,
Q8WV22,train,4.0
Q8WVJ2,train,5.0
Q8WVK2,train,2.0
Q8WVM0,train,5.0
Q8WVM7,train,2.0
Q8WVX9,train,1.0
Q8WVY7,train,3.0
Q8WWC4,train,1.0
Q8WWI1,train,1.0
Q8WWM7,train,3.0
Q8WWV3,train,5.0
Q8WWY3,train,4.0
Q8WX92,train,5.0
Q8WX93,test,
Q8WXD5,train,2.0
Q8WXE1,train,5.0
Q8WXI9,train,3.0
Q8WXW3,train,3.0
Q8WXX5,train,5.0
Q8WY22,train,3.0
Q8WYA6,test,
Q8WYP5,train,2.0
Q8WZ82,test,
Q8WZA0,test,
Q92481,test,
Q92499,train,5.0
Q92504,train,3.0
Q92522,train,5.0
Q92530,train,5.0
Q92535,train,1.0
Q92541,train,2.0
Q92542,test,
Q92547,train,3.0
Q92552,train,5.0
Q92574,train,3.0
Q92575,train,2.0
Q92576,train,3.0
Q92598,train,1.0
Q92604,test,
Q92614,train,4.0
Q92620,test,
Q92621,train,5.0
Q92643,train,1.0
Q92665,train,4.0
Q92667,train,3.0
Q92688,train,3.0
Q92733,train,2.0
Q92734,train,5.0
Q92769,test,
Q92783,train,1.0
Q92793,train,1.0
Q92797,train,3.0
Q92804,train,3.0
Q92805,train,2.0
Q92817,test,
Q92820,train,1.0
Q92841,train,2.0
Q92845,train,4.0
Q92878,test,
Q92888,train,2.0
Q92889,test,
Q92890,train,3.0
Q92896,train,1.0
Q92900,train,2.0
Q92901,train,3.0
Q92905,train,1.0
Q92917,train,2.0
Q92945,train,5.0
Q92973,train,3.0
Q92974,train,2.0
Q93009,test,
Q93034,train,1.0
Q93045,train,2.0
Q93050,test,
Q93052,train,5.0
Q969F1,train,2.0
Q969G3,train,4.0
Q969G6,train,3.0
Q969H8,train,4.0
Q969Q4,train,2.0
Q969S3,train,1.0
Q969U7,test,
Q969V3,test,
Q969X5,train,5.0
Q969X6,train,5.0
Q969Z0,train,2.0
Q96A26,train,2.0
Q96A33,train,1.0
Q96A35,train,4.0
Q96A49,train,3.0
Q96A72,test,
Q96AC1,train,3.0
Q96AG4,train,5.0
Q96AQ8,train,1.0
Q96AT1,train,2.0
Q96AY3,train,4.0
Q96AY4,train,5.0
Q96B26,train,5.0
Q96B97,test,
Q96BD8,train,3.0
Q96BJ3,test,
Q96BN2,train,4.0
Q96BN8,train,5.0
Q96BP3,test,
Q96BR5,train,3.0
Q96C01,train,4.0
Q96C19,train,2.0
Q96C36,train,3.0
Q96C57,train,4.0
Q96C86,train,4.0
Q96CS3,train,1.0
Q96CT7,test,
Q96CV9,train,3.0
Q96CW1,train,1.0
Q96D46,train,3.0
Q96D71,train,2.0
Q96DB5,train,3.0
Q96DG6,test,
Q96DI7,train,3.0
Q96DV4,train,5.0
Q96DZ1,train,3.0
Q96E11,train,1.0
Q96E29,train,2.0
Q96EA4,test,
Q96EB6,train,1.0
Q96EC8,test,
Q96EE3,train,4.0
Q96EK5,test,
Q96EK6,test,
Q96EL3,train,1.0
Q96EP5,train,4.0
Q96ER9,train,2.0
Q96ES7,train,1.0
Q96EX1,test,
Q96EY1,train,5.0
Q96EY4,train,2.0
Q96EY7,test,
Q96EY8,train,1.0
Q96F07,train,1.0
Q96F24,train,3.0
Q96F86,train,3.0
Q96FQ6,train,3.0
Q96FV9,train,1.0
Q96FW1,train,4.0
Q96FZ2,test,
Q96G01,train,5.0
Q96G03,train,4.0
Q96G23,train,1.0
Q96G25,train,2.0
Q96G46,train,1.0
Q96G74,train,3.0
Q96GA3,train,2.0
Q96GC5,test,
Q96GM5,train,5.0
Q96HA1,train,5.0
Q96HC4,train,1.0
Q96HH6,test,
Q96HS1,train,4.0
Q96HY6,test,
Q96HY7,test,
Q96I25,train,2.0
Q96I59,train,4.0
Q96II8,train,2.0
Q96IJ6,train,4.0
Q96IX5,test,
Q96IZ0,train,1.0
Q96J01,test,
Q96J02,train,4.0
Q96JB2,test,
Q96JB5,train,3.0
Q96JG6,train,3.0
Q96JJ7,train,5.0
Q96K76,train,4.0
Q96KB5,test,
Q96KG9,train,2.0
Q96KM6,train,4.0
Q96KN7,train,3.0
Q96KP1,train,5.0
Q96KP4,test,
Q96KR1,train,3.0
Q96L92,train,5.0
Q96LA8,train,3.0
Q96M27,test,
Q96M83,train,1.0
Q96M96,train,2.0
Q96ME7,train,4.0
Q96MU7,test,
Q96MW1,test,
Q96NB3,test,
Q96NC0,train,2.0
Q96ND0,test,
Q96P11,train,5.0
Q96P48,train,4.0
Q96P70,train,1.0
Q96PC5,train,1.0
Q96PK6,train,1.0
Q96PU4,test,
Q96PU8,train,1.0
Q96PZ0,test,
Q96Q11,train,4.0
Q96Q83,train,2.0
Q96QC0,train,2.0
Q96QD5,train,4.0
Q96QD8,test,
Q96QE5,train,3.0
Q96QK1,train,1.0
Q96QU8,train,2.0
Q96R06,test,
Q96RP9,train,5.0
Q96RQ1,test,
Q96RT7,train,3.0
Q96RU2,train,1.0
Q96RU3,train,5.0
Q96RY7,test,
Q96S52,test,
Q96S55,train,3.0
Q96S66,train,4.0
Q96SB4,train,3.0
Q96SK2,train,5.0
Q96SN8,train,5.0
Q96ST2,train,1.0
Q96ST3,test,
Q96SU4,test,
Q96SZ6,train,2.0
Q96T17,train,3.0
Q96T23,train,5.0
Q96T37,train,1.0
Q96T51,train,3.0
Q96T76,train,5.0
Q96TA1,train,1.0
Q96TA2,train,5.0
Q96TC7,train,1.0
Q99417,test,
Q99426,train,5.0
Q99436,train,5.0
Q99442,train,3.0
Q99459,train,2.0
Q99460,train,4.0
Q99471,train,2.0
Q99497,train,1.0
Q99536,train,2.0
Q99541,test,
Q99543,train,5.0
Q99567,test,
Q99575,train,3.0
Q99584,train,3.0
Q99590,train,4.0
Q99598,train,5.0
Q99614,test,
Q99615,train,5.0
Q99623,train,1.0
Q99633,train,4.0
Q99653,train,2.0
Q99685,train,1.0
Q99700,train,5.0
Q99707,train,2.0
Q99714,train,1.0
Q99747,train,4.0
Q99757,train,2.0
Q99784,train,2.0
Q99798,train,4.0
Q99805,train,4.0
Q99808,train,4.0
Q99832,train,4.0
Q99848,train,3.0
Q99961,train,4.0
Q99986,train,5.0
Q9BPX3,train,3.0
Q9BPX5,train,2.0
Q9BPX6,train,2.0
Q9BQ15,test,
Q9BQ52,train,3.0
Q9BQ61,test,
Q9BQ69,test,
Q9BQ75,train,1.0
Q9BQG0,train,3.0
Q9BQG2,train,2.0
Q9BQP7,test,
Q9BR61,train,2.0
Q9BR76,train,5.0
Q9BRJ2,train,4.0
Q9BRK5,train,3.0
Q9BRL6,train,5.0
Q9BRP8,train,3.0
Q9BRQ8,train,4.0
Q9BRS2,train,3.0
Q9BRT6,train,3.0
Q9BRU9,test,
Q9BRX2,test,
Q9BRX5,train,3.0
Q9BRX8,train,4.0
Q9BS16,train,5.0
Q9BS26,train,4.0
Q9BSC4,train,2.0
Q9BSH4,train,2.0
Q9BSJ2,train,3.0
Q9BSJ8,train,3.0
Q9BSM1,train,1.0
Q9BSR8,test,
Q9BT73,train,5.0
Q9BT78,train,3.0
Q9BTC0,test,
Q9BTE3,train,5.0
Q9BTT4,train,4.0
Q9BTU6,train,5.0
Q9BTV4,train,4.0
Q9BTW9,train,2.0
Q9BUJ2,test,
Q9BUK6,test,
Q9BUL8,train,3.0
Q9BUP3,train,5.0
Q9BUQ8,train,5.0
Q9BV38,train,4.0
Q9BV57,train,1.0
Q9BV81,train,2.0
Q9BVC6,train,3.0
Q9BVI4,test,
Q9BVJ6,train,4.0
Q9BVK2,train,4.0
Q9BVK6,train,3.0
Q9BVL2,train,2.0
Q9BVP2,train,5.0
Q9BW27,train,5.0
Q9BW71,train,3.0
Q9BW72,train,5.0
Q9BW83,train,1.0
Q9BW85,train,2.0
Q9BW91,train,2.0
Q9BWF3,train,3.0
Q9BWS9,train,1.0
Q9BWW8,train,3.0
Q9BXB4,train,2.0
Q9BXJ9,train,1.0
Q9BXP5,train,4.0
Q9BXS5,train,5.0
Q9BXS6,train,3.0
Q9BXW6,train,1.0
Q9BXW7,train,2.0
Q9BXW9,test,
Q9BXY0,train,3.0
Q9BY08,train,1.0
Q9BY32,train,1.0
Q9BY42,test,
Q9BY44,train,3.0
Q9BY77,test,
Q9BY89,train,1.0
Q9BYD2,train,1.0
Q9BYD6,train,2.0
Q9BYG3,train,2.0
Q9BYT8,train,1.0
Q9BYW2,train,4.0
Q9BYX2,train,4.0
Q9BZD4,test,
Q9BZE1,train,2.0
Q9BZE4,test,
Q9BZF1,train,2.0
Q9BZF9,train,1.0
Q9BZG1,train,2.0
Q9BZH6,train,5.0
Q9BZI7,train,2.0
Q9BZJ0,test,
Q9BZV1,train,3.0
Q9BZX2,test,
Q9BZZ5,train,2.0
Q9C005,test,
Q9C0B5,train,2.0
Q9C0C2,train,4.0
Q9C0C9,train,4.0
Q9C0D5,train,5.0
Q9C0E2,train,3.0
Q9GZL7,test,
Q9GZP4,train,3.0
Q9GZQ3,train,3.0
Q9GZR2,train,5.0
Q9GZR7,train,4.0
Q9GZS1,train,2.0
Q9GZS3,train,2.0
Q9GZT3,test,
Q9GZT9,train,3.0
Q9GZU8,train,2.0
Q9GZY8,train,5.0
Q9GZZ1,train,3.0
Q9GZZ9,train,1.0
Q9H000,train,1.0
Q9H074,train,2.0
Q9H078,train,1.0
Q9H081,train,5.0
Q9H089,test,
Q9H0A0,train,5.0
Q9H0A8,train,2.0
Q9H0B6,train,2.0
Q9H0C8,train,4.0
Q9H0D6,test,
Q9H0E3,train,3.0
Q9H0F6,train,4.0
Q9H0H5,train,5.0
Q9H0W9,train,2.0
Q9H1A4,train,2.0
Q9H1I8,train,3.0
Q9H1K0,train,5.0
Q9H1K1,test,
Q9H1Y0,train,5.0
Q9H201,train,4.0
Q9H254,train,3.0
Q9H267,train,2.0
Q9H269,train,1.0
Q9H270,train,4.0
Q9H2D1,train,4.0
Q9H2F9,train,4.0
Q9H2G2,test,
Q9H2J4,train,2.0
Q9H2L5,train,2.0
Q9H2M9,train,3.0
Q9H2U1,train,3.0
Q9H2U2,train,3.0
Q9H307,test,
Q9H3H5,train,2.0
Q9H3K2,train,4.0
Q9H3P2,train,4.0
Q9H3P7,test,
Q9H3Q1,train,3.0
Q9H3R2,test,
Q9H3S7,train,1.0
Q9H3U1,train,4.0
Q9H3U5,train,5.0
Q9H3Z4,train,5.0
Q9H444,train,4.0
Q9H467,train,4.0
Q9H479,train,1.0
Q9H4A3,train,2.0
Q9H4A4,test,
Q9H4A6,train,2.0
Q9H4L7,train,2.0
Q9H501,train,2.0
Q9H553,train,2.0
Q9H583,train,1.0
Q9H5Q4,test,
Q9H633,train,5.0
Q9H6E5,train,5.0
Q9H6F5,train,5.0
Q9H6H4,train,1.0
Q9H6R4,train,1.0
Q9H6S0,train,1.0
Q9H6S3,train,1.0
Q9H6T0,test,
Q9H6T3,train,3.0
Q9H6U8,train,1.0
Q9H6W3,train,2.0
Q9H6Z4,train,4.0
Q9H788,train,3.0
Q9H7B2,train,5.0
Q9H7D0,test,
Q9H7E2,train,2.0
Q9H7Z7,test,
Q9H814,train,5.0
Q9H832,test,
Q9H875,train,5.0
Q9H8H0,test,
Q9H8H2,train,5.0
Q9H8M5,train,5.0
Q9H8Y8,train,5.0
Q9H900,train,3.0
Q9H910,train,4.0
Q9H936,train,4.0
Q9H967,train,3.0
Q9H993,train,2.0
Q9H9A6,train,3.0
Q9H9B4,test,
Q9H9C1,train,4.0
Q9H9E3,test,
Q9H9L3,test,
Q9H9P8,test,
Q9H9T3,test,
Q9HA77,test,
Q9HAU5,test,
Q9HAV4,train,1.0
Q9HAV7,test,
Q9HB40,test,
Q9HB71,train,5.0
Q9HBH0,train,4.0
Q9HBL7,train,3.0
Q9HBL8,test,
Q9HBM1,train,5.0
Q9HC07,train,5.0
Q9HC21,train,5.0
Q9HC35,train,1.0
Q9HC36,train,3.0
Q9HC38,test,
Q9HC98,test,
Q9HCC0,train,4.0
Q9HCD5,train,5.0
Q9HCE1,test,
Q9HCL2,train,3.0
Q9HCS7,train,2.0
Q9HCU5,train,1.0
Q9HD26,train,4.0
Q9HD33,train,5.0
Q9HD34,train,1.0
Q9HD67,test,
Q9HDC9,test,
Q9NP58,train,3.0
Q9NP66,test,
Q9NP79,train,2.0
Q9NP80,train,3.0
Q9NPA3,train,4.0
Q9NPA8,train,2.0
Q9NPE3,train,3.0
Q9NPF5,test,
Q9NPF8,train,3.0
Q9NPJ6,train,5.0
Q9NPL8,train,3.0
Q9NPQ8,train,4.0
Q9NQ55,train,3.0
Q9NQ88,train,5.0
Q9NQC3,train,3.0
Q9NQG5,train,5.0
Q9NQP4,train,5.0
Q9NQS7,train,5.0
Q9NQT4,train,1.0
Q9NQV7,train,3.0
Q9NQW6,train,5.0
Q9NQW7,train,2.0
Q9NQX3,train,1.0
Q9NQZ2,train,3.0
Q9NR12,train,5.0
Q9NR28,train,1.0
Q9NR30,train,1.0
Q9NR31,train,4.0
Q9NR33,test,
Q9NR45,test,
Q9NR46,train,4.0
Q9NR50,test,
Q9NR56,train,3.0
Q9NRF9,train,3.0
Q9NRG0,train,5.0
Q9NRG1,train,4.0
Q9NRG4,train,4.0
Q9NRH2,train,5.0
Q9NRK6,train,3.0
Q9NRL2,test,
Q9NRN7,train,2.0
Q9NRN9,train,5.0
Q9NRS6,train,4.0
Q9NRV9,train,5.0
Q9NRW7,test,
Q9NRX2,train,1.0
Q9NRX4,test,
Q9NRY2,train,2.0
Q9NRZ9,train,2.0
Q9NS87,train,3.0
Q9NS91,train,1.0
Q9NS93,train,4.0
Q9NSD9,train,4.0
Q9NSE4,train,3.0
Q9NSI2,test,
Q9NSV4,train,4.0
Q9NT62,test,
Q9NTI5,train,4.0
Q9NTJ3,test,
Q9NTJ5,train,1.0
Q9NTK5,train,4.0
Q9NTM9,train,3.0
Q9NTZ6,train,2.0
Q9NUL3,train,4.0
Q9NUM4,train,1.0
Q9NUP9,train,5.0
Q9NUQ2,train,2.0
Q9NUQ8,train,5.0
Q9NUQ9,train,3.0
Q9NV06,train,5.0
Q9NV70,train,2.0
Q9NVC6,train,1.0
Q9NVD7,train,4.0
Q9NVE7,train,2.0
Q9NVG8,train,3.0
Q9NVH1,test,
Q9NVH2,test,
Q9NVI1,train,5.0
Q9NVM4,train,4.0
Q9NVM6,train,2.0
Q9NVM9,train,4.0
Q9NVN8,train,3.0
Q9NVP1,train,2.0
Q9NVQ4,test,
Q9NVS2,test,
Q9NVT9,train,1.0
Q9NVU0,train,4.0
Q9NVU7,train,4.0
Q9NVV4,test,
Q9NVX2,train,1.0
Q9NW08,train,2.0
Q9NW13,train,4.0
Q9NW64,train,2.0
Q9NW68,train,3.0
Q9NW81,train,3.0
Q9NW82,train,2.0
Q9NWB6,train,2.0
Q9NWH9,train,5.0
Q9NWS8,train,5.0
Q9NWT1,train,1.0
Q9NWV4,train,5.0
Q9NX01,train,2.0
Q9NX18,test,
Q9NX40,test,
Q9NX62,test,
Q9NXC5,train,5.0
Q9NXE4,train,5.0
Q9NXF1,train,2.0
Q9NXG2,train,3.0
Q9NXH9,train,1.0
Q9NXR1,train,3.0
Q9NY12,test,
Q9NY27,train,2.0
Q9NY33,train,4.0
Q9NY61,train,3.0
Q9NY74,train,5.0
Q9NY93,train,2.0
Q9NYB9,train,5.0
Q9NYH9,test,
Q9NYK5,train,5.0
Q9NYL9,train,3.0
Q9NYP7,train,3.0
Q9NYU2,test,
Q9NZ01,train,2.0
Q9NZ09,train,2.0
Q9NZ32,train,2.0
Q9NZ43,test,
Q9NZ52,train,1.0
Q9NZ63,train,3.0
Q9NZD2,train,2.0
Q9NZD8,train,5.0
Q9NZE8,train,1.0
Q9NZL9,train,4.0
Q9NZM1,train,1.0
Q9NZM3,train,3.0
Q9NZM5,train,3.0
Q9NZN4,train,2.0
Q9NZN5,test,
Q9NZN8,train,1.0
Q9NZZ3,train,3.0
Q9P000,train,3.0
Q9P013,test,
Q9P016,train,3.0
Q9P021,train,3.0
Q9P0I2,test,
Q9P0J0,test,
Q9P0J7,train,2.0
Q9P0K7,train,3.0
Q9P0L0,train,2.0
Q9P0M9,train,3.0
Q9P0P8,train,5.0
Q9P0S2,train,5.0
Q9P0U3,train,5.0
Q9P0V3,train,5.0
Q9P0V9,train,4.0
