protein,length,shape
Q14764,893,893x112
Q14807,665,665x112
Q14847,261,261x112
Q14914,329,329x112
Q14966,1978,1978x112
Q14974,876,876x112
Q14978,699,699x112
Q14980,2115,2115x112
Q14BN4,828,828x112
Q14C86,1478,1478x112
Q14CX7,972,972x112
Q15003,741,741x112
Q15004,111,111x112
Q15005,226,226x112
Q15007,396,396x112
Q15008,389,389x112
Q15018,415,415x112
Q15020,963,963x112
Q15021,1401,1401x112
Q15029,972,972x112
Q15031,903,903x112
Q15036,470,470x112
Q15041,203,203x112
Q15042,981,981x112
Q15046,597,597x112
Q15050,365,365x112
Q15054,466,466x112
Q15056,248,248x112
Q15057,778,778x112
Q15058,1648,1648x112
Q15061,677,677x112
Q15067,660,660x112
Q15075,1411,1411x112
Q15084,440,440x112
Q15121,130,130x112
Q15125,230,230x112
Q15126,192,192x112
Q15165,354,354x112
Q15185,160,160x112
Q15208,465,465x112
Q15257,358,358x112
Q15269,919,919x112
Q15274,297,297x112
Q15276,862,862x112
Q15287,305,305x112
Q15293,331,331x112
Q15311,655,655x112
Q15345,812,812x112
Q15361,905,905x112
Q15363,201,201x112
Q15369,112,112x112
Q15370,118,118x112
Q15382,184,184x112
Q15388,145,145x112
Q15392,516,516x112
Q15393,1217,1217x112
Q15397,648,648x112
Q15404,277,277x112
Q15417,329,329x112
Q15427,424,424x112
Q15428,464,464x112
Q15435,360,360x112
Q15437,767,767x112
Q15459,793,793x112
Q15528,200,200x112
Q15545,349,349x112
Q15555,327,327x112
Q15629,374,374x112
Q15631,228,228x112
Q15637,639,639x112
Q15643,1979,1979x112
Q15649,155,155x112
Q15650,581,581x112
Q15652,2540,2540x112
Q15653,356,356x112
Q15714,1073,1073x112
Q15738,373,373x112
Q15758,541,541x112
Q15785,309,309x112
Q15800,293,293x112
Q15813,527,527x112
Q15818,432,432x112
Q16134,617,617x112
Q16186,407,407x112
Q16204,474,474x112
Q16222,522,522x112
Q16352,499,499x112
Q16401,504,504x112
Q16513,984,984x112
Q16514,161,161x112
Q16531,1140,1140x112
Q16543,378,378x112
Q16555,572,572x112
Q16630,551,551x112
Q16637,294,294x112
Q16643,649,649x112
Q16658,493,493x112
Q16666,785,785x112
Q16718,116,116x112
Q16795,377,377x112
Q16798,604,604x112
Q16822,640,640x112
Q16836,314,314x112
Q16851,508,508x112
Q16891,758,758x112
Q17R31,274,274x112
Q1ED39,458,458x112
Q27J81,1249,1249x112
Q2KHR3,1735,1735x112
Q2M389,1173,1173x112
Q2NKX8,1250,1250x112
Q2NL82,804,804x112
Q2TAL8,776,776x112
Q2TAY7,513,513x112
Q2TBE0,894,894x112
Q2VIQ3,1234,1234x112
Q2VPK5,515,515x112
Q32MZ4,808,808x112
Q32P28,736,736x112
Q3KRA6,126,126x112
Q3LXA3,575,575x112
Q3MHD2,195,195x112
Q3SXM5,330,330x112
Q3ZCQ8,353,353x112
Q49A26,553,553x112
Q4G0J3,582,582x112
Q4G148,440,440x112
Q4J6C6,727,727x112
Q4KMQ2,910,910x112
Q4U2R6,128,128x112
Q4V328,841,841x112
Q4VC31,144,144x112
Q4ZIN3,620,620x112
Q52LJ0,433,433x112
Q53EL6,469,469x112
Q53EZ4,464,464x112
Q53F19,620,620x112
Q53FV1,153,153x112
Q53GQ0,312,312x112
Q53GS7,698,698x112
Q53GS9,565,565x112
Q53H12,422,422x112
Q53H82,288,288x112
Q53S33,107,107x112
Q567U6,631,631x112
Q56P03,285,285x112
Q56UN5,1328,1328x112
Q56VL3,154,154x112
Q58FF6,505,505x112
Q58FF7,597,597x112
Q58FF8,381,381x112
Q58FG1,418,418x112
Q5BJD5,291,291x112
Q5BJF2,176,176x112
Q5BJF6,829,829x112
Q5BKT4,473,473x112
Q5BKZ1,582,582x112
Q5F1R6,531,531x112
Q5GLZ8,1057,1057x112
Q5H9R7,873,873x112
Q5HYI8,236,236x112
Q5JPE7,1267,1267x112
Q5JPH6,523,523x112
Q5JRA6,1907,1907x112
Q5JRX3,1037,1037x112
Q5JSH3,913,913x112
Q5JTH9,1297,1297x112
Q5JTV8,583,583x112
Q5JU85,1488,1488x112
Q5JUR7,227,227x112
Q5JVF3,399,399x112
Q5JWF2,1037,1037x112
Q5MIZ7,849,849x112
Q5MNZ6,344,344x112
Q5NE16,218,218x112
Q5PSV4,323,323x112
Q5QJE6,756,756x112
Q5R3I4,469,469x112
Q5SRE5,1749,1749x112
Q5SSJ5,553,553x112
Q5SW79,1584,1584x112
Q5SY16,702,702x112
Q5T1C6,240,240x112
Q5T1M5,1219,1219x112
Q5T200,1668,1668x112
Q5T280,376,376x112
Q5T2W1,519,519x112
Q5T3I0,446,446x112
Q5T3J3,769,769x112
Q5T447,861,861x112
Q5T5Y3,1602,1602x112
Q5T653,305,305x112
Q5T655,872,872x112
Q5T6F2,1119,1119x112
Q5T6V5,341,341x112
Q5T8P6,1007,1007x112
Q5T9A4,648,648x112
Q5T9S5,1454,1454x112
Q5TA50,214,214x112
Q5TBB1,312,312x112
Q5TC12,328,328x112
Q5TFE4,455,455x112
Q5TKA1,542,542x112
Q5U3C3,297,297x112
Q5UIP0,2472,2472x112
Q5VIR6,832,832x112
Q5VSL9,837,837x112
Q5VT25,1732,1732x112
Q5VT52,1461,1461x112
Q5VTB9,566,566x112
Q5VTL8,546,546x112
Q5VU43,2346,2346x112
Q5VUA4,2279,2279x112
Q5VV42,579,579x112
Q5VW32,411,411x112
Q5VW38,600,600x112
Q5VWI1,586,586x112
Q5VWJ9,437,437x112
Q5VYK3,1845,1845x112
Q5VYS8,1495,1495x112
Q5VZL5,1548,1548x112
Q5VZM2,374,374x112
Q5W0B1,726,726x112
Q5W0V3,765,765x112
Q5XKP0,118,118x112
Q641Q2,1341,1341x112
Q66K14,1250,1250x112
Q66LE6,453,453x112
Q676U5,607,607x112
Q68CP9,1835,1835x112
Q68CZ6,603,603x112
Q68E01,1043,1043x112
Q68EM7,881,881x112
Q69YN4,1812,1812x112
Q6AHZ1,1483,1483x112
Q6DN03,193,193x112
Q6FI81,312,312x112
Q6GMV2,418,418x112
Q6I9Y2,204,204x112
Q6IA86,826,826x112
Q6IQ23,1121,1121x112
Q6MZM0,1159,1159x112
Q6NUK1,477,477x112
Q6NUM9,610,610x112
Q6NUQ1,792,792x112
Q6NUQ4,689,689x112
Q6NVY1,386,386x112
Q6NXE6,501,501x112
Q6NXR4,508,508x112
Q6NYC1,403,403x112
Q6NZI2,390,390x112
Q6P1J9,531,531x112
Q6P1M0,643,643x112
Q6P1N0,951,951x112
Q6P1N9,297,297x112
Q6P1Q9,378,378x112
Q6P2C8,311,311x112
Q6P2E9,1401,1401x112
Q6P2H3,762,762x112
Q6P2Q9,2335,2335x112
Q6P3W7,929,929x112
Q6P3X3,843,843x112
Q6P4E1,436,436x112
Q6P6C2,394,394x112
Q6P996,788,788x112
Q6PCB5,846,846x112
Q6PD62,1173,1173x112
Q6PD74,315,315x112
Q6PGP7,1564,1564x112
Q6PI48,645,645x112
Q6PID6,262,262x112
Q6PII3,467,467x112
Q6PIU2,408,408x112
Q6PJ69,517,517x112
Q6PJT7,736,736x112
Q6PKG0,1096,1096x112
Q6PL18,1390,1390x112
Q6Q0C0,670,670x112
Q6QNY1,142,142x112
Q6R327,1708,1708x112
Q6SJ93,734,734x112
Q6UB35,978,978x112
Q6UN15,594,594x112
Q6UVJ0,657,657x112
Q6UWE0,723,723x112
Q6UX04,472,472x112
Q6UXN9,313,313x112
Q6VMQ6,1270,1270x112
Q6VY07,963,963x112
Q6WCQ1,1025,1025x112
Q6WKZ4,1283,1283x112
Q6Y1H2,254,254x112
Q6Y7W6,1299,1299x112
Q6YN16,418,418x112
Q6YP21,454,454x112
Q6ZRP7,698,698x112
Q6ZT77,177,177x112
Q6ZWJ1,553,553x112
Q6ZXV5,915,915x112
Q70E73,1250,1250x112
Q70HW3,274,274x112
Q70J99,1090,1090x112
Q70UQ0,350,350x112
Q70Z53,315,315x112
Q712K3,238,238x112
Q71H61,639,639x112
Q71RC2,724,724x112
Q7KZ85,1726,1726x112
Q7KZF4,910,910x112
Q7KZI7,788,788x112
Q7KZN9,410,410x112
Q7L014,1031,1031x112
Q7L0Y3,403,403x112
Q7L1Q6,419,419x112
Q7L2E3,1194,1194x112
Q7L2H7,374,374x112
Q7L3B6,337,337x112
Q7L4I2,434,434x112
Q7L592,441,441x112
Q7L5D6,327,327x112
Q7L5N1,327,327x112
Q7L5Y9,396,396x112
Q7L7X3,1001,1001x112
Q7LBC6,1761,1761x112
Q7LBR1,199,199x112
Q7RTV0,110,110x112
Q7Z2K6,904,904x112
Q7Z2T5,733,733x112
Q7Z2W4,902,902x112
Q7Z2W9,205,205x112
Q7Z2Z2,1120,1120x112
Q7Z3B4,507,507x112
Q7Z3E2,898,898x112
Q7Z3K3,1410,1410x112
Q7Z3U7,1717,1717x112
Q7Z406,1995,1995x112
Q7Z417,695,695x112
Q7Z460,1538,1538x112
Q7Z478,1369,1369x112
Q7Z4G4,463,463x112
Q7Z4H7,955,955x112
Q7Z4H8,507,507x112
Q7Z4I7,341,341x112
Q7Z4Q2,680,680x112
Q7Z4S6,1674,1674x112
Q7Z4V5,671,671x112
Q7Z569,592,592x112
Q7Z5K2,1190,1190x112
Q7Z6B0,441,441x112
Q7Z6B7,1085,1085x112
Q7Z6E9,1792,1792x112
Q7Z6M1,372,372x112
Q7Z739,585,585x112
Q7Z7A1,2325,2325x112
Q7Z7E8,422,422x112
Q7Z7K0,106,106x112
Q7Z7K6,275,275x112
Q86SF2,657,657x112
Q86TB9,770,770x112
Q86TI2,863,863x112
Q86TU7,594,594x112
Q86U42,306,306x112
Q86U44,580,580x112
Q86UD0,394,394x112
Q86UE4,582,582x112
Q86UE8,772,772x112
Q86UK7,904,904x112
Q86UP2,1357,1357x112
Q86UT8,332,332x112
Q86V21,672,672x112
Q86V48,1076,1076x112
Q86V81,257,257x112
Q86VM9,953,953x112
Q86VN1,386,386x112
Q86VP1,789,789x112
Q86VU5,262,262x112
Q86W50,562,562x112
Q86W92,1011,1011x112
Q86WA8,852,852x112
Q86WB0,502,502x112
Q86WJ1,897,897x112
Q86WR0,208,208x112
Q86X10,1494,1494x112
Q86X27,583,583x112
Q86X55,608,608x112
Q86XA9,2040,2040x112
Q86XI2,1143,1143x112
Q86XP3,938,938x112
Q86Y37,369,369x112
Q86Y56,855,855x112
Q86YP4,633,633x112
Q8IU85,385,385x112
Q8IUC4,686,686x112
Q8IUD2,1116,1116x112
Q8IUD6,432,432x112
Q8IUF8,465,465x112
Q8IV38,441,441x112
Q8IV48,349,349x112
Q8IVF6,992,992x112
Q8IVI9,506,506x112
Q8IVM0,306,306x112
Q8IVT2,679,679x112
Q8IW35,865,865x112
Q8IWA0,830,830x112
Q8IWB7,410,410x112
Q8IWB9,1127,1127x112
Q8IWC1,876,876x112
Q8IWE2,563,563x112
Q8IWJ2,1684,1684x112
Q8IWL3,235,235x112
Q8IWS0,365,365x112
Q8IWX8,916,916x112
Q8IX01,1082,1082x112
Q8IX03,1113,1113x112
Q8IX12,1150,1150x112
Q8IXB1,793,793x112
Q8IXH7,590,590x112
Q8IXI1,618,618x112
Q8IXJ6,389,389x112
Q8IXM3,137,137x112
Q8IXT5,1001,1001x112
Q8IY18,1101,1101x112
Q8IY37,1157,1157x112
Q8IY63,956,956x112
Q8IY81,847,847x112
Q8IYB3,904,904x112
Q8IYB8,786,786x112
Q8IYD1,628,628x112
Q8IYE0,955,955x112
Q8IYH5,903,903x112
Q8IYI6,725,725x112
Q8IYU8,434,434x112
Q8IZ21,702,702x112
Q8IZH2,1706,1706x112
Q8IZL8,1130,1130x112
Q8N0X7,666,666x112
Q8N163,923,923x112
Q8N183,169,169x112
Q8N1F7,819,819x112
Q8N1G2,835,835x112
Q8N1G4,583,583x112
Q8N1W1,1705,1705x112
Q8N201,2190,2190x112
Q8N2F6,343,343x112
Q8N3C0,2202,2202x112
Q8N3D4,1523,1523x112
Q8N3X1,1017,1017x112
Q8N4H5,51,51x112
Q8N4P3,179,179x112
Q8N4V1,131,131x112
Q8N543,542,542x112
Q8N5I9,185,185x112
Q8N5K1,135,135x112
Q8N5M4,171,171x112
Q8N5N7,158,158x112
Q8N684,471,471x112
Q8N6G6,1762,1762x112
Q8N6M0,293,293x112
Q8N6M3,262,262x112
Q8N6R0,699,699x112
Q8N6T3,406,406x112
Q8N6T7,355,355x112
Q8N6V9,391,391x112
Q8N7H5,531,531x112
Q8N806,425,425x112
Q8N884,522,522x112
Q8N8S7,591,591x112
Q8N983,215,215x112
Q8N999,325,325x112
Q8NA47,563,563x112
Q8NA72,575,575x112
Q8NAV1,312,312x112
Q8NB16,471,471x112
Q8NBF2,726,726x112
Q8NBI5,491,491x112
Q8NBJ4,401,401x112
Q8NBJ5,622,622x112
Q8NBN3,555,555x112
Q8NBS9,432,432x112
Q8NBU5,361,361x112
Q8NC51,408,408x112
Q8NC60,698,698x112
Q8NCG7,672,672x112
Q8ND24,703,703x112
Q8ND56,463,463x112
Q8ND76,341,341x112
Q8NDD1,293,293x112
Q8NDF8,572,572x112
Q8NDI1,1231,1231x112
Q8NDT2,890,890x112
Q8NE71,845,845x112
Q8NE86,351,351x112
Q8NEJ9,315,315x112
Q8NEM0,835,835x112
Q8NEM2,672,672x112
Q8NEN9,1154,1154x112
Q8NEY8,458,458x112
Q8NEZ5,403,403x112
Q8NF37,534,534x112
Q8NFH3,380,380x112
Q8NFH4,326,326x112
Q8NFJ5,357,357x112
Q8NFQ8,470,470x112
Q8NFW8,434,434x112
Q8NFX7,210,210x112
Q8NG31,2342,2342x112
Q8NHH9,583,583x112
Q8NHP6,518,518x112
Q8NHQ9,600,600x112
Q8NHU6,1098,1098x112
Q8NHV4,660,660x112
Q8NI22,146,146x112
Q8NI27,1593,1593x112
Q8NI35,1801,1801x112
Q8TAA9,524,524x112
Q8TAD4,765,765x112
Q8TAE8,222,222x112
Q8TAQ2,1214,1214x112
Q8TAT6,608,608x112
Q8TB36,358,358x112
Q8TBA6,731,731x112
Q8TBF4,217,217x112
Q8TBN0,382,382x112
Q8TBX8,421,421x112
Q8TC07,691,691x112
Q8TCD5,201,201x112
Q8TCG1,905,905x112
Q8TCJ2,826,826x112
Q8TCS8,783,783x112
Q8TCT9,377,377x112
Q8TCY9,931,931x112
Q8TDB6,740,740x112
Q8TDD1,881,881x112
Q8TDM6,1919,1919x112
Q8TDN6,353,353x112
Q8TEA1,469,469x112
Q8TED0,518,518x112
Q8TED1,209,209x112
Q8TEQ6,1508,1508x112
Q8TEW8,1205,1205x112
Q8TEY7,942,942x112
Q8TF05,950,950x112
Q8TF42,649,649x112
Q8TF46,1054,1054x112
Q8WTT2,800,800x112
Q8WU10,500,500x112
Q8WU90,426,426x112
Q8WUA2,492,492x112
Q8WUD4,166,166x112
Q8WUF5,828,828x112
Q8WUM0,1156,1156x112
Q8WUM4,868,868x112
Q8WUX2,184,184x112
Q8WV22,266,266x112
Q8WVJ2,157,157x112
Q8WVK2,155,155x112
Q8WVM0,346,346x112
Q8WVM7,1258,1258x112
Q8WVX9,515,515x112
Q8WVY7,318,318x112
Q8WWC4,291,291x112
Q8WWI1,1683,1683x112
Q8WWM7,1075,1075x112
Q8WWV3,396,396x112
Q8WWY3,499,499x112
Q8WX92,580,580x112
Q8WX93,1383,1383x112
Q8WXD5,167,167x112
Q8WXE1,791,791x112
Q8WXI9,593,593x112
Q8WXW3,757,757x112
Q8WXX5,260,260x112
Q8WY22,251,251x112
Q8WYA6,563,563x112
Q8WYP5,2266,2266x112
Q8WZ82,227,227x112
Q8WZA0,190,190x112
Q92481,460,460x112
Q92499,740,740x112
Q92504,469,469x112
Q92522,213,213x112
Q92530,271,271x112
Q92535,297,297x112
Q92541,710,710x112
Q92542,709,709x112
Q92547,1522,1522x112
Q92552,414,414x112
Q92574,1164,1164x112
Q92575,508,508x112
Q92576,2039,2039x112
Q92598,858,858x112
Q92604,370,370x112
Q92614,2054,2054x112
Q92620,1227,1227x112
Q92621,2012,2012x112
Q92643,395,395x112
Q92665,395,395x112
Q92667,903,903x112
Q92688,251,251x112
Q92733,491,491x112
Q92734,400,400x112
Q92769,488,488x112
Q92783,540,540x112
Q92793,2442,2442x112
Q92797,1274,1274x112
Q92804,592,592x112
Q92805,767,767x112
Q92817,2033,2033x112
Q92820,318,318x112
Q92841,729,729x112
Q92845,792,792x112
Q92878,1312,1312x112
Q92888,912,912x112
Q92889,916,916x112
Q92890,307,307x112
Q92896,1179,1179x112
Q92900,1129,1129x112
Q92901,407,407x112
Q92905,334,334x112
Q92917,476,476x112
Q92945,711,711x112
Q92973,898,898x112
Q92974,986,986x112
Q93009,1102,1102x112
Q93034,780,780x112
Q93045,179,179x112
Q93050,837,837x112
Q93052,612,612x112
Q969F1,213,213x112
Q969G3,411,411x112
Q969G6,155,155x112
Q969H8,173,173x112
Q969Q4,196,196x112
Q969S3,477,477x112
Q969U7,264,264x112
Q969V3,563,563x112
Q969X5,290,290x112
Q969X6,686,686x112
Q969Z0,631,631x112
Q96A26,154,154x112
Q96A33,483,483x112
Q96A35,216,216x112
Q96A49,352,352x112
Q96A72,148,148x112
Q96AC1,680,680x112
Q96AG4,307,307x112
Q96AQ8,359,359x112
Q96AT1,154,154x112
Q96AY3,582,582x112
Q96AY4,2481,2481x112
Q96B26,276,276x112
Q96B97,665,665x112
Q96BD8,255,255x112
Q96BJ3,306,306x112
Q96BN2,335,335x112
Q96BN8,352,352x112
Q96BP3,646,646x112
Q96BR5,231,231x112
Q96C01,138,138x112
Q96C19,240,240x112
Q96C36,320,320x112
Q96C57,262,262x112
Q96C86,337,337x112
Q96CS3,445,445x112
Q96CT7,223,223x112
Q96CV9,577,577x112
Q96CW1,435,435x112
Q96D46,503,503x112
Q96D71,796,796x112
Q96DB5,314,314x112
Q96DG6,245,245x112
Q96DI7,357,357x112
Q96DV4,380,380x112
Q96DZ1,483,483x112
Q96E11,262,262x112
Q96E29,417,417x112
Q96EA4,605,605x112
Q96EB6,747,747x112
Q96EC8,236,236x112
Q96EE3,360,360x112
Q96EK5,621,621x112
Q96EK6,184,184x112
Q96EL3,112,112x112
Q96EP5,407,407x112
Q96ER9,411,411x112
Q96ES7,293,293x112
Q96EX1,92,92x112
Q96EY1,480,480x112
Q96EY4,203,203x112
Q96EY7,689,689x112
Q96EY8,250,250x112
Q96F07,1278,1278x112
Q96F24,287,287x112
Q96F86,508,508x112
Q96FQ6,103,103x112
Q96FV9,657,657x112
Q96FW1,271,271x112
Q96FZ2,354,354x112
Q96G01,975,975x112
Q96G03,612,612x112
Q96G23,380,380x112
Q96G25,268,268x112
Q96G46,650,650x112
Q96G74,571,571x112
Q96GA3,475,475x112
Q96GC5,212,212x112
Q96GM5,515,515x112
Q96HA1,1249,1249x112
Q96HC4,596,596x112
Q96HH6,336,336x112
Q96HS1,289,289x112
Q96HY6,314,314x112
Q96HY7,919,919x112
Q96I25,401,401x112
Q96I59,477,477x112
Q96II8,777,777x112
Q96IJ6,420,420x112
Q96IX5,58,58x112
Q96IZ0,340,340x112
Q96J01,351,351x112
Q96J02,903,903x112
Q96JB2,828,828x112
Q96JB5,506,506x112
Q96JG6,964,964x112
Q96JJ7,454,454x112
Q96K76,1375,1375x112
Q96KB5,322,322x112
Q96KG9,808,808x112
Q96KM6,892,892x112
Q96KN7,1286,1286x112
Q96KP1,924,924x112
Q96KP4,475,475x112
Q96KR1,1074,1074x112
Q96L92,541,541x112
Q96LA8,375,375x112
Q96M27,445,445x112
Q96M83,1385,1385x112
Q96M96,766,766x112
Q96ME7,567,567x112
Q96MU7,727,727x112
Q96MW1,224,224x112
Q96NB3,372,372x112
Q96NC0,199,199x112
Q96ND0,272,272x112
Q96P11,429,429x112
Q96P48,1450,1450x112
Q96P70,1041,1041x112
Q96PC5,1412,1412x112
Q96PK6,669,669x112
Q96PU4,802,802x112
Q96PU8,341,341x112
Q96PZ0,661,661x112
Q96Q11,434,434x112
Q96Q83,286,286x112
Q96QC0,940,940x112
Q96QD5,511,511x112
Q96QD8,506,506x112
Q96QE5,360,360x112
Q96QK1,796,796x112
Q96QU8,1125,1125x112
Q96R06,1193,1193x112
Q96RP9,751,751x112
Q96RQ1,377,377x112
Q96RT7,1819,1819x112
Q96RU2,1077,1077x112
Q96RU3,617,617x112
Q96RY7,1462,1462x112
Q96S52,555,555x112
Q96S55,665,665x112
Q96S66,551,551x112
Q96SB4,655,655x112
Q96SK2,561,561x112
Q96SN8,1893,1893x112
Q96ST2,819,819x112
Q96ST3,1273,1273x112
Q96SU4,736,736x112
Q96SZ6,601,601x112
Q96T17,732,732x112
Q96T23,1441,1441x112
Q96T37,977,977x112
Q96T51,708,708x112
Q96T76,1030,1030x112
Q96TA1,746,746x112
Q96TA2,773,773x112
Q96TC7,470,470x112
Q99417,103,103x112
Q99426,244,244x112
Q99436,277,277x112
Q99442,399,399x112
Q99459,802,802x112
Q99460,953,953x112
Q99471,154,154x112
Q99497,189,189x112
Q99536,393,393x112
Q99541,437,437x112
Q99543,621,621x112
Q99567,741,741x112
Q99575,1024,1024x112
Q99584,98,98x112
Q99590,1463,1463x112
Q99598,290,290x112
Q99614,292,292x112
Q99615,494,494x112
Q99623,299,299x112
Q99633,342,342x112
Q99653,195,195x112
Q99685,303,303x112
Q99700,1313,1313x112
Q99707,1265,1265x112
Q99714,261,261x112
Q99747,312,312x112
Q99757,166,166x112
Q99784,485,485x112
Q99798,780,780x112
Q99805,663,663x112
Q99808,456,456x112
Q99832,543,543x112
Q99848,306,306x112
Q99961,368,368x112
Q99986,396,396x112
Q9BPX3,1015,1015x112
Q9BPX5,153,153x112
Q9BPX6,476,476x112
Q9BQ15,211,211x112
Q9BQ52,826,826x112
Q9BQ61,176,176x112
Q9BQ69,325,325x112
Q9BQ75,279,279x112
Q9BQG0,1328,1328x112
Q9BQG2,462,462x112
Q9BQP7,344,344x112
Q9BR61,282,282x112
Q9BR76,489,489x112
Q9BRJ2,306,306x112
Q9BRK5,362,362x112
Q9BRL6,282,282x112
Q9BRP8,204,204x112
Q9BRQ8,373,373x112
Q9BRS2,568,568x112
Q9BRT6,129,129x112
Q9BRU9,249,249x112
Q9BRX2,385,385x112
Q9BRX5,216,216x112
Q9BRX8,229,229x112
Q9BS16,269,269x112
Q9BS26,406,406x112
Q9BSC4,688,688x112
Q9BSH4,297,297x112
Q9BSJ2,902,902x112
Q9BSJ8,1104,1104x112
Q9BSM1,259,259x112
Q9BSR8,244,244x112
Q9BT73,122,122x112
Q9BT78,406,406x112
Q9BTC0,2240,2240x112
Q9BTE3,642,642x112
Q9BTT4,135,135x112
Q9BTU6,479,479x112
Q9BTV4,400,400x112
Q9BTW9,1192,1192x112
Q9BUJ2,856,856x112
Q9BUK6,570,570x112
Q9BUL8,212,212x112
Q9BUP3,242,242x112
Q9BUQ8,820,820x112
Q9BV38,432,432x112
Q9BV57,179,179x112
Q9BV81,110,110x112
Q9BVC6,243,243x112
Q9BVI4,516,516x112
Q9BVJ6,771,771x112
Q9BVK2,526,526x112
Q9BVK6,235,235x112
Q9BVL2,599,599x112
Q9BVP2,549,549x112
Q9BW27,656,656x112
Q9BW71,556,556x112
Q9BW72,106,106x112
Q9BW83,186,186x112
Q9BW85,323,323x112
Q9BW91,350,350x112
Q9BWF3,364,364x112
Q9BWS9,393,393x112
Q9BWW8,343,343x112
Q9BXB4,747,747x112
Q9BXJ9,866,866x112
Q9BXP5,876,876x112
Q9BXS5,423,423x112
Q9BXS6,441,441x112
Q9BXW6,950,950x112
Q9BXW7,423,423x112
Q9BXW9,1451,1451x112
Q9BXY0,300,300x112
Q9BY08,206,206x112
Q9BY32,194,194x112
Q9BY42,306,306x112
Q9BY44,585,585x112
Q9BY77,421,421x112
Q9BY89,1806,1806x112
Q9BYD2,267,267x112
Q9BYD6,325,325x112
Q9BYG3,293,293x112
Q9BYT8,704,704x112
Q9BYW2,2564,2564x112
Q9BYX2,928,928x112
Q9BZD4,464,464x112
Q9BZE1,423,423x112
Q9BZE4,634,634x112
Q9BZF1,889,889x112
Q9BZF9,1416,1416x112
Q9BZG1,259,259x112
Q9BZH6,1224,1224x112
Q9BZI7,483,483x112
Q9BZJ0,848,848x112
Q9BZV1,441,441x112
Q9BZX2,261,261x112
Q9BZZ5,524,524x112
Q9C005,99,99x112
Q9C0B5,715,715x112
Q9C0C2,1729,1729x112
Q9C0C9,1292,1292x112
Q9C0D5,1861,1861x112
Q9C0E2,1151,1151x112
Q9GZL7,423,423x112
Q9GZP4,211,211x112
Q9GZQ3,224,224x112
Q9GZR2,422,422x112
Q9GZR7,859,859x112
Q9GZS1,419,419x112
Q9GZS3,305,305x112
Q9GZT3,109,109x112
Q9GZT9,426,426x112
Q9GZU8,254,254x112
Q9GZY8,342,342x112
Q9GZZ1,169,169x112
Q9GZZ9,404,404x112
Q9H000,416,416x112
Q9H074,479,479x112
Q9H078,707,707x112
Q9H081,205,205x112
Q9H089,658,658x112
Q9H0A0,1025,1025x112
Q9H0A8,199,199x112
Q9H0B6,622,622x112
Q9H0C8,392,392x112
Q9H0D6,950,950x112
Q9H0E3,1048,1048x112
Q9H0F6,387,387x112
Q9H0H5,632,632x112
Q9H0W9,315,315x112
Q9H1A4,1944,1944x112
Q9H1I8,757,757x112
Q9H1K0,784,784x112
Q9H1K1,167,167x112
Q9H1Y0,275,275x112
Q9H201,632,632x112
Q9H254,2564,2564x112
Q9H267,617,617x112
Q9H269,839,839x112
Q9H270,941,941x112
Q9H2D1,315,315x112
Q9H2F9,335,335x112
Q9H2G2,1235,1235x112
Q9H2J4,239,239x112
Q9H2L5,321,321x112
Q9H2M9,1393,1393x112
Q9H2U1,1008,1008x112
Q9H2U2,334,334x112
Q9H307,717,717x112
Q9H3H5,408,408x112
Q9H3K2,345,345x112
Q9H3P2,528,528x112
Q9H3P7,528,528x112
Q9H3Q1,356,356x112
Q9H3R2,512,512x112
Q9H3S7,1636,1636x112
Q9H3U1,944,944x112
Q9H3U5,465,465x112
Q9H3Z4,198,198x112
Q9H444,224,224x112
Q9H467,287,287x112
Q9H479,309,309x112
Q9H4A3,2382,2382x112
Q9H4A4,650,650x112
Q9H4A6,298,298x112
Q9H4L7,1026,1026x112
Q9H501,851,851x112
Q9H553,416,416x112
Q9H583,2144,2144x112
Q9H5Q4,396,396x112
Q9H633,154,154x112
Q9H6E5,874,874x112
Q9H6F5,360,360x112
Q9H6H4,257,257x112
Q9H6R4,1146,1146x112
Q9H6S0,1430,1430x112
Q9H6S3,715,715x112
Q9H6T0,727,727x112
Q9H6T3,665,665x112
Q9H6U8,611,611x112
Q9H6W3,641,641x112
Q9H6Z4,567,567x112
Q9H788,454,454x112
Q9H7B2,306,306x112
Q9H7D0,1870,1870x112
Q9H7E2,651,651x112
Q9H7Z7,377,377x112
Q9H814,394,394x112
Q9H832,354,354x112
Q9H875,184,184x112
Q9H8H0,719,719x112
Q9H8H2,851,851x112
Q9H8M5,875,875x112
Q9H8Y8,452,452x112
Q9H900,591,591x112
Q9H910,190,190x112
Q9H936,323,323x112
Q9H967,626,626x112
Q9H993,441,441x112
Q9H9A6,602,602x112
Q9H9B4,322,322x112
Q9H9C1,493,493x112
Q9H9E3,785,785x112
Q9H9L3,353,353x112
Q9H9P8,463,463x112
Q9H9T3,547,547x112
Q9HA77,564,564x112
Q9HAU5,1272,1272x112
Q9HAV4,1204,1204x112
Q9HAV7,217,217x112
Q9HB40,452,452x112
Q9HB71,228,228x112
Q9HBH0,211,211x112
Q9HBL7,147,147x112
Q9HBL8,299,299x112
Q9HBM1,224,224x112
Q9HC07,324,324x112
Q9HC21,320,320x112
Q9HC35,981,981x112
Q9HC36,420,420x112
Q9HC38,313,313x112
Q9HC98,313,313x112
Q9HCC0,563,563x112
